"","X","nugget_id","nugget_page_loaded_ms","upworthy_loaded_ms","facebook_loaded_ms","youtube_loaded_ms","new_visitor","device_type","bounced","quick_exit_status","quick_exit_10","quick_exit_30","yt_video","load_all","max_load_time","log_max_load_time","max_load_time_capped","bounced_num","quick_exit_10_num","quick_exit_30_num"
"7173",7173,"550a0d356235630024880000",10127,10165,14834,19818,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",19818,9.89434589461884,19818,0,0,0
"7174",7174,"550a0d356235630024880000",2239,2247,4459,14407,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",14407,9.57546947856147,14407,1,0,1
"7175",7175,"550a0d356235630024880000",8723,8756,11249,35125,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",35125,10.466668406636,35125,1,0,1
"7176",7176,"550a0d356235630024880000",2638,3542,5635,13857,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",13857,9.53654579909871,13857,1,0,0
"7177",7177,"550a0d356235630024880000",3253,4018,17389,20088,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",20088,9.90787790083742,20088,1,0,0
"7178",7178,"550a0d356235630024880000",10735,13091,19080,27252,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",27252,10.2128821918936,27252,1,0,0
"7179",7179,"550a0d356235630024880000",6122,6134,17874,21757,"Returning","Tablet","Yes","exited_lt_30","Stayed","Exited","Yes","Load",21757,9.9876908238182,21757,1,0,1
"7180",7180,"550a0d356235630024880000",1423,1428,2617,7925,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",7925,8.97777759874548,7925,1,0,0
"7181",7181,"550a0d356235630024880000",7714,7729,21822,35410,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",35410,10.4747495451059,35410,1,0,0
"7182",7182,"550a0d356235630024880000",NA,NA,6105,16944,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"7183",7183,"550a0d356235630024880000",1800,1810,14398,16259,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",16259,9.69640188059556,16259,1,0,1
"7184",7184,"550a0d356235630024880000",NA,NA,4739,5115,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"7185",7185,"550a0d356235630024880000",3286,3534,9349,NA,"New","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,1,1,1
"7186",7186,"550a0d356235630024880000",NA,NA,2911,11182,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"7187",7187,"550a0d356235630024880000",10059,10064,19112,35270,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",35270,10.4707880232301,35270,1,0,1
"7188",7188,"550a0d356235630024880000",NA,NA,55935,58266,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"7189",7189,"550a0d356235630024880000",7997,8049,11542,27390,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",27390,10.2179332622571,27390,1,0,0
"7190",7190,"550a0d356235630024880000",3874,3884,6797,13260,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",13260,9.49250726373985,13260,1,0,1
"7191",7191,"550a0d356235630024880000",5238,5907,13014,20197,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",20197,9.91328935750839,20197,1,0,0
"7192",7192,"550a0d356235630024880000",NA,NA,20953,30716,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"7193",7193,"550a0d356235630024880000",NA,NA,20001,34020,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"7194",7194,"550a0d356235630024880000",NA,NA,4078,9629,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"7195",7195,"550a0d356235630024880000",4237,4460,9740,13449,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",13449,9.50666003282355,13449,1,0,0
"7196",7196,"550a0d356235630024880000",1566,1573,3490,11726,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",11726,9.36956387752416,11726,1,0,1
"7197",7197,"550a0d356235630024880000",3282,3632,5465,10892,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",10892,9.29578385379365,10892,1,0,1
"7198",7198,"550a0d356235630024880000",3162,3169,4028,NA,"New","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,1,1,1
"7199",7199,"550a0d356235630024880000",2240,2247,2679,6637,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",6637,8.80041533314592,6637,1,0,0
"7200",7200,"550a0d356235630024880000",7677,9447,14027,21415,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",21415,9.97184689004947,21415,1,0,0
"7201",7201,"550a0d356235630024880000",6014,7088,16141,22388,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",22388,10.0162803800113,22388,1,0,1
"7202",7202,"550a0d356235630024880000",NA,NA,3836,11629,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"7203",7203,"550a0d356235630024880000",1947,1956,2317,15698,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",15698,9.66128859468676,15698,1,0,0
"7204",7204,"550a0d356235630024880000",4278,4290,19837,NA,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"7205",7205,"550a0d356235630024880000",NA,NA,3444,13205,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"7206",7206,"550a0d356235630024880000",NA,NA,2738,13258,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"7207",7207,"550a0d356235630024880000",NA,NA,12317,29272,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","No_Load",NA,NA,NA,1,0,0
"7208",7208,"550a0d356235630024880000",NA,NA,19126,26614,"New","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","No_Load",NA,NA,NA,1,0,1
"7209",7209,"550a0d356235630024880000",5117,5133,12722,21004,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",21004,9.95246817475775,21004,1,0,0
"7210",7210,"550a0d356235630024880000",2872,3142,14855,21899,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",21899,9.99419625266159,21899,1,0,0
"7211",7211,"550a0d356235630024880000",1744,1748,2757,6158,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",6158,8.72550732848445,6158,1,0,0
"7212",7212,"550a0d356235630024880000",7516,7636,NA,NA,"Returning","Mobile","Yes","exited_lt_10","Exited","Exited","Yes","No_Load",NA,NA,NA,1,1,1
"7213",7213,"550a0d356235630024880000",5417,5776,12706,18565,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",18565,9.82903336661118,18565,1,0,0
"7214",7214,"550a0d356235630024880000",6990,7033,14103,18745,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",18745,9.83868232917001,18745,1,0,0
"7215",7215,"550a0d356235630024880000",2055,2063,3888,14249,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",14249,9.56444200779579,14249,1,0,0
"7216",7216,"550a0d356235630024880000",8578,8589,22149,26893,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",26893,10.1996213086777,26893,1,0,0
"7217",7217,"5525c0b5646532002c380000",1717,1723,2654,4069,"Returning","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",4069,8.31115254800169,4069,1,0,0
"7218",7218,"5525c0b5646532002c380000",2006,2043,3147,6428,"Returning","Mobile","Yes","exited_lt_30","Stayed","Exited","Yes","Load",6428,8.7684187268574,6428,1,0,1
"7219",7219,"5525c0b5646532002c380000",4662,4894,7324,10413,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",10413,9.2508103045299,10413,0,0,0
"7220",7220,"5525c0b5646532002c380000",3450,3463,5964,13509,"Returning","Mobile","No","stayed_at_least_30","Stayed","Stayed","Yes","Load",13509,9.51111140896968,13509,0,0,0
"7221",7221,"5525c0b5646532002c380000",3321,3343,5933,11421,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",11421,9.34320904505061,11421,1,0,0
"7222",7222,"550a0d356235630024880000",2341,2355,8407,15983,"New","Mobile","Yes","stayed_at_least_30","Stayed","Stayed","Yes","Load",15983,9.67928093636865,15983,1,0,0
